block_fips,block_name,town,county,town_fips
090091302001000,Block 1000,Seymour,New Haven,0900967610
090091841004015,Block 4015,Branford,New Haven,0900907310
090091672022010,Block 2010,North Haven,New Haven,0900954870
090117161013002,Block 3002,East Lyme,New London,0901123400
090053603002043,Block 2043,Waterbury,New Haven,0900980070
090034664001028,Block 1028,Simsbury,Hartford,0900368940
090052632001061,Block 1061,Cornwall,Litchfield,0900517240
090093461022075,Block 2075,Oxford,New Haven,0900958300
090053602003048,Block 3048,Watertown,Litchfield,0900580490
090052671002013,Block 2013,Washington,Litchfield,0900579720
090138902013001,Block 3001,Stafford,Tolland,0901372090
090012203001022,Block 1022,New Fairfield,Fairfield,0900150860
090138811004030,Block 4030,Mansfield,Tolland,0901344910
090012304004003,Block 4003,Newtown,Fairfield,0900152980
090159002001010,Block 1010,Thompson,Windham,0901575870
090034735021028,Block 1028,Windsor,Hartford,0900387000
090034602042007,Block 2007,Farmington,Hartford,0900327600
090012109004017,Block 4017,Danbury,Fairfield,0900118500
090099900000046,Block 0046,County subdivisions not defined,,
090091651002000,Block 2000,Hamden,New Haven,0900935650
090034736012023,Block 2023,Windsor,Hartford,0900387000
090034663001029,Block 1029,Simsbury,Hartford,0900368940
090012301001045,Block 1045,Newtown,Fairfield,0900152980
090158250001021,Block 1021,Scotland,Windham,0901567400
090076801004047,Block 4047,Westbrook,Middlesex,0900781680
090034054012019,Block 2019,Bristol,Hartford,0900308490
090118701003049,Block 3049,Lebanon,New London,0901142390
090116952013006,Block 3006,Montville,New London,0901148900
090053492002003,Block 2003,Thomaston,Litchfield,0900575730
090091202001023,Block 1023,Derby,New Haven,0900919550
090010107001010,Block 1010,Greenwich,Fairfield,0900133620
090091902001011,Block 1011,Guilford,New Haven,0900934950
090010442002006,Block 2006,Norwalk,Fairfield,0900156060
090034735021047,Block 1047,Windsor,Hartford,0900387000
090118705022025,Block 2025,Montville,New London,0901148900
090053491001004,Block 1004,Thomaston,Litchfield,0900575730
090159025001036,Block 1036,Pomfret,Windham,0901561030
090116501002042,Block 2042,Lyme,New London,0901144210
090117071002061,Block 2061,North Stonington,New London,0901155500
090091843002018,Block 2018,Branford,New Haven,0900907310
090019900000024,Block 0024,Greenwich,Fairfield,0900133620
090091903013003,Block 3003,Guilford,New Haven,0900934950
090099900000051,Block 0051,County subdivisions not defined,,
090091422001000,Block 1000,New Haven,New Haven,0900952070
090159001001025,Block 1025,Thompson,Windham,0901575870
090117001002042,Block 2042,Preston,New London,0901162150
090034714003058,Block 3058,Bloomfield,Hartford,0900305910
090118707011012,Block 1012,East Lyme,New London,0901123400
090035101001016,Block 1016,East Hartford,Hartford,0900322630
090159011003004,Block 3004,Woodstock,Windham,0901588190
090053621024017,Block 4017,Woodbury,Litchfield,0900587910
090012108002004,Block 2004,Danbury,Fairfield,0900118500
090091902002018,Block 2018,Guilford,New Haven,0900934950
090158301001058,Block 1058,Ashford,Windham,0901501430
090158301004014,Block 4014,Ashford,Windham,0901501430
090052536002008,Block 2008,New Milford,Litchfield,0900552630
090091201004008,Block 4008,Derby,New Haven,0900919550
090010744003021,Block 3021,Bridgeport,Fairfield,0900108070
090076301005005,Block 5005,Essex,Middlesex,0900726270
090117029002043,Block 2043,Groton,New London,0901134250
090158003001014,Block 1014,Columbia,Tolland,0901316400
090118701001028,Block 1028,Lebanon,New London,0901142390
090138811004024,Block 4024,Mansfield,Tolland,0901344910
090158200001028,Block 1028,Hampton,Windham,0901536000
090019900000020,Block 0020,Stamford,Fairfield,0900173070
090135291003016,Block 3016,Bolton,Tolland,0901306260
090012305021013,Block 1013,Newtown,Fairfield,0900152980
090034926006011,Block 6011,Wethersfield,Hartford,0900384900
090034813002037,Block 2037,Enfield,Hartford,0900325990
090138502005000,Block 5000,Coventry,Tolland,0901317800
090117021002088,Block 2088,Groton,New London,0901134250
090117053001015,Block 1015,Stonington,New London,0901173770
090091801002015,Block 2015,East Haven,New Haven,0900922910
090138401001038,Block 1038,Willington,Tolland,0901385950
090052661002007,Block 2007,Kent,Litchfield,0900540290
090010113003001,Block 3001,Greenwich,Fairfield,0900133620
090034771011028,Block 1028,Suffield,Hartford,0900374540
090091671007007,Block 7007,North Haven,New Haven,0900954870
090158005003027,Block 3027,Windham,Windham,0901586790
090034701002040,Block 2040,East Granby,Hartford,0900322070
090159011004025,Block 4025,Woodstock,Windham,0901588190
090138901002004,Block 2004,Stafford,Tolland,0901372090
090091541001001,Block 1001,New Haven,New Haven,0900952070
090076801004030,Block 4030,Westbrook,Middlesex,0900781680
090159001002001,Block 2001,Thompson,Windham,0901575870
090075420003013,Block 3013,Middletown,Middlesex,0900747360
090052611002000,Block 2000,Salisbury,Litchfield,0900566420
090116601022047,Block 2047,Old Lyme,New London,0901157040
090054254003007,Block 3007,Plymouth,Litchfield,0900560750
090116935001057,Block 1057,Waterford,New London,0901180280
090117026001010,Block 1010,Groton,New London,0901134250
090117001001048,Block 1048,Preston,New London,0901162150
090117052003073,Block 3073,Stonington,New London,0901173770
090093431022019,Block 2019,Cheshire,New Haven,0900914160
090093611002023,Block 2023,Wolcott,New Haven,0900987560
090093611002002,Block 2002,Wolcott,New Haven,0900987560
090116962001028,Block 1028,Norwich,New London,0901156270
090117012002006,Block 2006,Ledyard,New London,0901142600
090091510001000,Block 1000,Milford,New Haven,0900947535
090035106003000,Block 3000,East Hartford,Hartford,0900322630
090010615003000,Block 3000,Fairfield,Fairfield,0900126620
090010101013009,Block 3009,Greenwich,Fairfield,0900133620
090159011001051,Block 1051,Woodstock,Windham,0901588190
090010740002008,Block 2008,Bridgeport,Fairfield,0900108070
090159002003003,Block 3003,Thompson,Windham,0901575870
090116907001000,Block 1000,New London,New London,0901152350
090119901000015,Block 0015,Waterford,New London,0901180280
090035243004004,Block 4004,Enfield,Hartford,0900325990
090012401002006,Block 2006,Redding,Fairfield,0900163480
090117053002029,Block 2029,Stonington,New London,0901173770
090075602004000,Block 4000,Portland,Middlesex,0900761800
090099900000021,Block 0021,County subdivisions not defined,,
090010813001006,Block 1006,Stratford,Fairfield,0900174190
090116501001004,Block 1004,Lyme,New London,0901144210
090075421001003,Block 1003,Middletown,Middlesex,0900747360
090117029002036,Block 2036,Groton,New London,0901134250
090010113001013,Block 1013,Greenwich,Fairfield,0900133620
090075951013002,Block 3002,East Haddam,Middlesex,0900722280
090093523002005,Block 2005,Waterbury,New Haven,0900980070
090034101012010,Block 2010,Burlington,Hartford,0900310100
